A̱o;Semana;Melilla
2015;40;0.0
2015;41;7.42
2015;42;7.42
2015;43;0.0
2015;44;5.41
2015;45;21.65
2015;46;10.83
2015;47;5.41
2015;48;11.65
2015;49;11.65
2015;50;6.25
2015;51;12.97
2015;52;6.48
2015;53;8.27
2016;1;18.51
2016;2;5.93
2016;3;43.3
2016;4;54.13
2016;5;158.14
2016;6;189.45
2016;7;185.95
2016;8;255.07
2016;9;113.67
2016;10;75.78
2016;11;45.7
2016;12;16.24
2016;13;14.75
2016;14;10.83
2016;15;21.65
2016;16;16.24
2016;17;10.83
2016;18;13.14
2016;19;0.0
2016;20;0.0
2016;40;12.36
2016;41;21.28
2016;42;21.28
2016;43;4.99
2016;44;24.95
2016;45;29.94
2016;46;39.91
2016;47;39.91
2016;48;44.9
2016;49;39.02
2016;50;140.88
2016;51;169.64
2016;52;164.6
2017;1;179.94
2017;2;176.39
2017;3;162.0
2017;4;226.81
2017;5;152.24
2017;6;93.69
2017;7;35.73
2017;8;43.2
2017;9;17.8
2017;10;11.87
2017;11;19.15
2017;12;6.98
2017;13;6.98
2017;14;0.0
2017;15;0.0
2017;16;0.0
2017;17;12.77
2017;18;0.0
2017;19;0.0
2017;20;0.0
2017;40;9.23
2017;41;0.0
2017;42;5.22
2017;43;11.46
2017;44;11.46
2017;45;5.39
2017;46;9.87
2017;47;19.75
2017;48;39.5
2017;49;32.02
2017;50;59.75
2017;51;59.25
2018;1;92.0
2018;2;167.87
2018;3;157.99
2018;4;236.99
2018;5;266.61
2018;6;197.84
2018;7;211.62
2018;8;212.79
2018;9;176.43
2018;10;117.26
2018;11;55.6
2018;12;39.87
2018;14;11.39
2018;15;5.7
2018;16;5.7
2018;17;0.0
2018;18;0.0
2018;19;5.7
2018;20;0.0
2018;40;0.0
2018;41;6.96
2018;42;0.0
2018;43;4.94
2018;44;10.81
2018;45;29.63
2018;46;29.63
2018;47;49.39
2018;48;27.01
2018;49;91.85
2018;50;78.8
2018;51;96.25
2018;52;86.3
2019;1;72.41
2019;2;108.21
2019;3;149.34
