A̱o;Semana;Navarra
2015;40;0.0
2015;41;2.97
2015;42;17.81
2015;43;8.91
2015;44;8.89
2015;45;5.93
2015;46;14.82
2015;47;17.78
2015;48;11.86
2015;49;8.89
2015;50;2.96
2015;51;8.89
2015;52;11.86
2015;53;8.89
2016;1;17.78
2016;2;50.39
2016;3;148.2
2016;4;426.82
2016;5;417.93
2016;6;358.65
2016;7;272.69
2016;8;210.45
2016;9;160.06
2016;10;136.34
2016;11;207.48
2016;12;133.38
2016;13;62.24
2016;14;32.6
2016;15;14.82
2016;16;8.89
2016;17;11.86
2016;18;2.96
2016;19;5.93
2016;20;0.0
2016;40;8.89
2016;41;5.93
2016;42;8.89
2016;43;8.89
2016;44;23.71
2016;45;21.04
2016;46;24.05
2016;47;18.04
2016;48;21.04
2016;49;24.05
2016;50;36.07
2016;51;114.23
2016;52;108.22
2017;1;75.15
2017;2;414.83
2017;3;258.51
2017;4;276.55
2017;5;132.26
2017;6;81.16
2017;7;42.08
2017;8;21.04
2017;9;18.04
2017;10;18.04
2017;11;9.02
2017;12;0.0
2017;13;6.01
2017;14;9.02
2017;15;3.01
2017;16;3.01
2017;17;3.01
2017;18;0.0
2017;19;0.0
2017;20;3.01
2017;40;0.0
2017;41;0.0
2017;42;12.02
2017;43;6.01
2017;44;3.08
2017;45;9.24
2017;46;15.4
2017;47;12.32
2017;48;15.4
2017;49;9.24
2017;50;55.44
2017;51;67.76
2017;52;150.92
2018;1;314.16
2018;2;394.23
2018;3;489.71
2018;4;502.03
2018;5;326.48
2018;6;267.96
2018;7;73.92
2018;8;144.76
2018;9;135.52
2018;10;58.52
2018;11;55.44
2018;12;52.36
2018;14;27.72
2018;15;6.16
2018;16;6.16
2018;17;6.16
2018;18;3.08
2018;19;3.08
2018;20;0.0
2018;40;3.08
2018;41;6.19
2018;42;15.48
2018;43;3.04
2018;44;21.25
2018;45;24.28
2018;46;15.18
2018;47;9.11
2018;48;30.35
2018;49;21.25
2018;50;21.25
2018;51;33.39
2018;52;45.53
2019;1;15.18
2019;2;69.81
2019;3;424.95
